,Image,Object,Name,Class,Parent,ROI,Centroid X ?m,Centroid Y ?m,Tissue_Area,Num Detections,Area ?m^2,Perimeter ?m
66,Td63_7D_MCAO_Str.tif,01575e48-8a9b-4fbb-ab1f-193be59313ea,Positive,Positive,Image,Geometry,1927.8,3314.6,16061051,8835,16061050.7,35564.6
67,Td64_7D_MCAO_Str.tif,b52aa454-e4d8-4a68-bffb-09368a71354f,Ignore*,Ignore*,Image,Geometry,748.14,2797.7,0,15,5767929.9,24523.3
68,Td64_7D_MCAO_Str.tif,d528047c-299e-4d94-a190-614789625b2a,Positive,Positive,Image,Polygon,1913.5,3239.6,13744423,5226,13744423.1,19177
69,Td65_14D_SHAM_Str.tif,d152a7c3-b25d-43fb-adbc-bde4fece4802,Ignore*,Ignore*,Image,Geometry,1007.8,2500.9,0,24,5092528.3,26266.6
70,Td65_14D_SHAM_Str.tif,bfdd8670-0138-4bc9-80b1-67c138f73877,Positive,Positive,Image,Geometry,1801.5,3318.5,14781165,758,14781164.6,22663.7
71,Td66_7D_SHAM_Str.tif,fc845627-f496-48f7-b58d-e1cedc2b22ca,Positive,Positive,Image,Geometry,2027.5,3040.9,15004047,1014,15004047.2,31031.8
72,Td66_7D_SHAM_Str.tif,bf4a20bb-4a8f-4986-88bb-8cfefb7622dd,Ignore*,Ignore*,Image,Geometry,822.68,3280.6,0,7,5953665.3,38005.3
73,Td67_7D_SHAM_Str.tif,d7b20440-62be-4b73-b009-646c71d8ebd1,Ignore*,Ignore*,Image,Geometry,820.82,2882.4,0,25,5058758.2,38818.8
74,Td67_7D_SHAM_Str.tif,c3e2a548-2a1b-4a40-80df-ca40f9bea4b7,Positive,Positive,Image,Geometry,1863.5,3186.4,14814935,838,14814934.7,33356.3
75,Td68_7D_SHAM_Str.tif,c70f9b05-6843-4d6f-be89-b85db50d20a6,Positive,Positive,Image,Geometry,2019.5,3056.2,14578544,940,14578544.1,24639.5
76,Td68_7D_SHAM_Str.tif,f42b7f82-32fa-4762-978a-4f3804ebcc71,Ignore*,Ignore*,Image,Geometry,921.26,3229.7,0,27,6379168.4,32310.3
77,Td69_14D_SHAM_Str.tif,2cbc0d4b-967c-49e7-8560-4f1923f9ef0a,Ignore*,Ignore*,Image,Geometry,783.4,2918.7,0,11,5848978.1,31961.6
78,Td69_14D_SHAM_Str.tif,70ae3a1a-1781-4b46-ae84-fa02e83ef93a,Positive,Positive,Image,Geometry,2034.4,3182.7,15108734,672,15108734.4,26499.1
79,Td71_3D_MCAO_Str.tif,2fc04374-dec9-485a-b7c3-4874815795c3,Positive,Positive,Image,Geometry,1761.6,2944.1,15213422,4482,15213421.7,22663.7
80,Td71_3D_MCAO_Str.tif,5c1579e3-b533-4f22-9da9-800186b35583,Ignore*,Ignore*,Image,Geometry,1482.9,3545.7,0,15,5744290.8,30799.4
81,Td72_3D_MCAO_Str.tif,d2fef86d-2679-4335-aab3-ca92539bbab2,Positive,Positive,Image,Geometry,2055.7,2668.7,10472102,3955,10472102.2,36494.4
82,Td72_3D_MCAO_Str.tif,7b1f5e80-b522-4092-9d26-6be447511b59,Ignore*,Ignore*,Image,Geometry,1315.2,3548.7,0,38,10485610.3,44862.5
