,Image,Object,Name,Class,Parent,ROI,Centroid X ?m,Centroid Y ?m,Tisue_Area,Num Detections,Num Negatie,Num Positive,Positive %,Num Positive per mm^2,Area ?m^2,Perimeter ?m
45,Td52_30D_MCAO_Str.tif,665d9905-2b62-497e-b434-fa0de850a601,Ignore*,Ignore*,Image,Polygon,994.26,2901.9,0,0,0,0,NA,0,10502495.3,23128.6
46,Td52_30D_MCAO_Str.tif,6e6b0698-53db-413e-9f2b-c5bcd5c53c16,Positive,Positive,Image,Polygon,2274.8,3341.1,9371198,2417,448,1969,81.46,210.11,9371197.6,15109.1
47,Td53_14D_MCAO_Str.tif,0947764b-b3b5-414c-9b47-06b79d883fd6,Positive,Positive,Image,Geometry,2437.1,3036.5,9668374,4458,468,3990,89.5,412.69,9668374.3,18247.2
48,Td53_14D_MCAO_Str.tif,499b73bf-4e83-4e5f-aed3-bc1df10d3a3c,Ignore*,Ignore*,Image,Geometry,1041.3,3171.1,0,3,0,3,100,0.2657,11289338.2,26266.6
49,Td55_14D_MCAO_Str.tif,213f1250-9284-43b3-97d8-fa5b4f563a82,Ignore*,Ignore*,Image,Geometry,955.41,3091.1,0,1,0,1,100,0.0965,10367415,25453.1
50,Td55_14D_MCAO_Str.tif,cbd7398c-d355-4550-bb59-40a0df9afbe1,Positive,Positive,Image,Geometry,2332.9,3127.8,9867618,2841,567,2274,80.04,230.45,9867617.8,17666.1
51,Td56_14D_MCAO_Str.tif,5164bfef-3621-4351-a3c1-4953a703de41,Positive,Positive,Image,Geometry,2349,3075.5,8648518,3626,289,3337,92.03,385.85,8648517.8,17433.6
52,Td56_14D_MCAO_Str.tif,7ba07b4c-7e14-4759-8fbd-0da23ec4a867,Ignore*,Ignore*,Image,Geometry,1019.5,3134.8,0,1,1,0,0,0,11225175,24755.7
53,Td57_14D_MCAO_Str.tif,e4ed182c-9c0b-46ec-af36-8eb7c25f56b5,Ignore*,Ignore*,Image,Geometry,1093.2,2870.3,0,3,1,2,66.67,0.1664,12022149,24290.8
54,Td57_14D_MCAO_Str.tif,e26165fc-be87-4580-8b36-b2ef7001e0f2,Positive,Positive,Image,Geometry,2371.2,3474.4,7851544,3594,344,3250,90.43,413.93,7851543.9,15457.8
55,Td58_14D_MCAO_Str.tif,95093aa8-05be-4df6-be62-3a330fdddacb,Positive,Positive,Image,Geometry,2096.9,3108.1,10667969,2271,695,1576,69.4,147.73,10667968.7,17666.1
56,Td58_14D_MCAO_Str.tif,0030eafe-d94a-45e0-bfe5-7b6827770a37,Ignore*,Ignore*,Image,Geometry,932.35,3110.1,0,1,0,1,100,0.1131,8844384.3,24988.2
57,Td59_7D_MCAO_Str.tif,1554b04d-dd94-4562-8e31-cc2336f67b7d,Ignore*,Ignore*,Image,Geometry,1078.2,3570.7,0,2,1,1,50,0.0896,11161011.9,29520.9
58,Td59_7D_MCAO_Str.tif,cfbbed40-b2f0-45bb-9788-f4108f2a600b,Positive,Positive,Image,Geometry,2051.4,3903.1,12798861,4227,504,3723,88.08,290.89,12798860.8,20571.7
59,Td60_7D_MCAO_Str.tif,81e1f54b-a126-4f39-98a6-e6c828a59f24,Ignore*,Ignore*,Image,Geometry,860.88,2807.4,0,0,0,0,NA,0,6136023.8,25220.6
60,Td60_7D_MCAO_Str.tif,b77bafd7-d907-4ccc-986a-d326377fc315,Positive,Positive,Image,Polygon,1927.4,3243.7,13737669,3862,646,3216,83.27,234.1,13737669.1,18479.6
61,Td61_7D_MCAO_Str.tif,4f557878-1b70-42f0-956f-3fdf4e7b2edd,Ignore*,Ignore*,Image,Geometry,832.92,2880.1,0,9,2,7,77.78,1.232,5680127.7,34751
62,Td61_7D_MCAO_Str.tif,963e34a2-663b-4782-a951-6afd822b2ec8,Positive,Positive,Image,Geometry,1838.1,3205.5,13470885,2741,344,2397,87.45,177.94,13470885.5,27661.3
63,Td62_7D_MCAO_Str.tif,8c758292-a879-43d8-951f-f094a64b1785,Ignore*,Ignore*,Image,Geometry,771.92,2950.6,0,3,1,2,66.67,0.3359,5953665.3,31496.7
64,Td62_7D_MCAO_Str.tif,6fee60aa-427d-440d-b2cd-7fcebc33c7ca,Positive,Positive,Image,Geometry,1983.7,3175,14281367,2356,560,1796,76.23,125.76,14281367.4,27196.4
65,Td63_7D_MCAO_Str.tif,c49ad1f8-31c3-4a0d-b486-83013363b3bd,Ignore*,Ignore*,Image,Geometry,889.8,2434.7,0,16,3,13,81.25,2.655,4896661.8,40213.5
66,Td63_7D_MCAO_Str.tif,97f04845-2a34-40fa-87ee-8e0cb9f19cf4,Positive,Positive,Image,Geometry,1927.8,3314.6,16061051,3808,607,3201,84.06,199.3,16061050.7,35564.6
67,Td64_7D_MCAO_Str.tif,003233f1-3140-4b65-88f2-8ccabd259c38,Ignore*,Ignore*,Image,Geometry,748.14,2797.7,0,6,0,6,100,1.04,5767929.9,24523.3
68,Td64_7D_MCAO_Str.tif,c3d6d6b0-5db6-49df-8c3d-68f889741e5d,Positive,Positive,Image,Polygon,1913.5,3239.6,13744423,2267,422,1845,81.39,134.24,13744423.1,19177
69,Td65_14D_SHAM_Str.tif,b2b3f103-8368-42e6-bc76-207776b3d850,Ignore*,Ignore*,Image,Geometry,1007.8,2500.9,0,8,2,6,75,1.178,5092528.3,26266.6
70,Td65_14D_SHAM_Str.tif,862d9523-36d7-497c-9b24-a85a74912f5d,Positive,Positive,Image,Geometry,1801.5,3318.5,14781165,1782,1100,682,38.27,46.14,14781164.6,22663.7
71,Td66_7D_SHAM_Str.tif,933f8a99-220b-4c9c-894e-f9d806c6d2a6,Positive,Positive,Image,Geometry,2027.5,3040.9,15004047,1620,1158,462,28.52,30.79,15004047.2,31031.8
