"","MouseID","DPI","Condition","Class","X","Y"
"405","Td33","30D","MCAO","Positive",2098.9,3943.7
"406","Td33","30D","MCAO","Positive",2348.1,3072.9
"407","Td33","30D","MCAO","Positive",3175.5,1673.9
"408","Td33","30D","MCAO","Positive",2293.5,2247.9
"409","Td33","30D","MCAO","Positive",1765.8,3823.4
"410","Td33","30D","MCAO","Positive",1702.6,3231.7
"411","Td33","30D","MCAO","Positive",3280.4,2668.2
"412","Td33","30D","MCAO","Positive",1786.8,4121.5
"413","Td33","30D","MCAO","Positive",1545.8,2424.5
"414","Td33","30D","MCAO","Positive",2476.3,2776.2
"415","Td33","30D","MCAO","Positive",1709.5,3680.8
"416","Td33","30D","MCAO","Positive",1834.4,3412.7
"417","Td33","30D","MCAO","Positive",2633.4,2258.2
"418","Td33","30D","MCAO","Positive",2062.7,3129.9
"419","Td33","30D","MCAO","Positive",2405.8,3947
"420","Td33","30D","MCAO","Positive",1592.2,2802.8
"421","Td33","30D","MCAO","Positive",1456.1,2783.8
"422","Td33","30D","MCAO","Positive",1927.6,2882.7
"423","Td33","30D","MCAO","Positive",1717.7,2835.9
"424","Td33","30D","MCAO","Positive",2971.6,3540.9
"425","Td33","30D","MCAO","Positive",1948.7,3006.2
"426","Td33","30D","MCAO","Positive",2281.6,3772.7
"427","Td33","30D","MCAO","Positive",2062.2,4020.3
"428","Td33","30D","MCAO","Positive",1783.1,3350.5
"429","Td33","30D","MCAO","Positive",2090.7,3709.8
"430","Td33","30D","MCAO","Positive",1424.8,3293.2
"431","Td33","30D","MCAO","Positive",2069.1,2957.4
"432","Td33","30D","MCAO","Positive",3086.3,2478.4
"433","Td33","30D","MCAO","Positive",1822.4,2545.3
"434","Td33","30D","MCAO","Positive",2606.1,2027.9
"435","Td33","30D","MCAO","Positive",2678.9,2559.1
"436","Td33","30D","MCAO","Positive",1895.2,2540
"437","Td33","30D","MCAO","Positive",2338.3,3509
"438","Td33","30D","MCAO","Positive",2330.6,3933.5
"439","Td33","30D","MCAO","Positive",1801,2494.8
"440","Td33","30D","MCAO","Positive",3309.9,4893.2
"441","Td33","30D","MCAO","Positive",2294.3,3508.2
"442","Td33","30D","MCAO","Positive",2102.8,4111
"443","Td33","30D","MCAO","Positive",2280.4,4747.4
"444","Td33","30D","MCAO","Positive",3147,1702.1
"445","Td33","30D","MCAO","Positive",2220.2,3763.1
"446","Td33","30D","MCAO","Positive",2632.9,2003.3
"447","Td33","30D","MCAO","Positive",2027.9,3919.8
"448","Td33","30D","MCAO","Positive",1988.9,4068.5
"449","Td33","30D","MCAO","Positive",3184.9,585.13
"450","Td33","30D","MCAO","Positive",1574.4,3451.6
"451","Td33","30D","MCAO","Positive",1856.8,3016.3
"452","Td33","30D","MCAO","Positive",1737.2,3456.9
"453","Td33","30D","MCAO","Positive",2994.1,349.81
"454","Td33","30D","MCAO","Positive",1481.2,2905.3
"455","Td33","30D","MCAO","Positive",1177.2,3296.6
"456","Td33","30D","MCAO","Positive",1873.8,3051.9
"457","Td33","30D","MCAO","Positive",1421.5,2614.9
"458","Td33","30D","MCAO","Positive",1913.1,3856.1
"459","Td33","30D","MCAO","Positive",3110.4,1693
"460","Td33","30D","MCAO","Positive",1712.9,3959.3
"461","Td33","30D","MCAO","Positive",1933.9,3556.5
"462","Td33","30D","MCAO","Positive",2595.7,2496.1
"463","Td33","30D","MCAO","Positive",2008,3125
"464","Td33","30D","MCAO","Positive",2683.3,2846.7
"465","Td33","30D","MCAO","Positive",1261.2,1772.9
"466","Td33","30D","MCAO","Positive",1612.5,4078.2
"467","Td33","30D","MCAO","Positive",2269.1,2658.2
"468","Td33","30D","MCAO","Positive",1931.8,3681.3
"469","Td33","30D","MCAO","Positive",2390.2,2397.7
"470","Td33","30D","MCAO","Positive",1461.8,1334.5
"471","Td33","30D","MCAO","Positive",2107.3,3688.9
"472","Td33","30D","MCAO","Positive",1560.5,3036.4
"473","Td33","30D","MCAO","Positive",1930,4074.9
"474","Td33","30D","MCAO","Positive",2381,2965.5
"475","Td33","30D","MCAO","Positive",1791.3,3025.3
"476","Td33","30D","MCAO","Positive",2433.6,2556.7
"477","Td33","30D","MCAO","Positive",1733.4,2982.1
"478","Td33","30D","MCAO","Positive",1755.5,3372.8
"479","Td33","30D","MCAO","Positive",3142.5,2536.7
"480","Td33","30D","MCAO","Positive",2106.9,3806.9
"481","Td33","30D","MCAO","Positive",1794,4320.9
"482","Td33","30D","MCAO","Positive",1333.8,3108.4
"483","Td33","30D","MCAO","Positive",1327.4,3079.4
"484","Td33","30D","MCAO","Positive",1812.4,3764.8
"485","Td33","30D","MCAO","Positive",1562.6,3273.5
"486","Td33","30D","MCAO","Positive",2952.3,1838.5
"487","Td33","30D","MCAO","Positive",2794.3,2417.6
"488","Td33","30D","MCAO","Positive",1636.6,2868.2
